FishID,bpm,bpm.SD,temp_mean,Depth.cm,SL.cm,TL.cm,FL.cm,Tank,mass.g,bpm_duration,temp.rate,heart.mass,breakpoint_Cels,breakpoint_bpm,breakpoint_CIh,breakpoint_CIl,HRpeak,Tpeak,temp_ARRH,time_ARRH,TEMP,sizeClass,treatm,BW
r2-1-RRTT,106.6522405,0.3946,18,3.8,8.6,10.9,10.1,1,19.43,0.259,0.16611621,0.022,19.77,120.6934174,3.42216,3.40564,127.9918745,21.25,23.73043231,51.64,18,Juvenile,18,0.01943
r2-1-RRTT,114.0027202,0.8023,19,3.8,8.6,10.9,10.1,1,19.43,0.254,0.16611621,0.022,19.77,120.6934174,3.42216,3.40564,127.9918745,21.25,23.73043231,51.64,19,Juvenile,19,0.01943
r2-1-RRTT,122.3210729,0.8463,20.1,3.8,8.6,10.9,10.1,1,19.43,0.257,0.16611621,0.022,19.77,120.6934174,3.42216,3.40564,127.9918745,21.25,23.73043231,51.64,20,Juvenile,20,0.01943
r2-1-RRTT,127.9918745,0.8621,21.25,3.8,8.6,10.9,10.1,1,19.43,0.254,0.16611621,0.022,19.77,120.6934174,3.42216,3.40564,127.9918745,21.25,23.73043231,51.64,21,Juvenile,21,0.01943
r2-1-RRTT,124.8776194,2.1295,22.1,3.8,8.6,10.9,10.1,1,19.43,0.25,0.16611621,0.022,19.77,120.6934174,3.42216,3.40564,127.9918745,21.25,23.73043231,51.64,22,Juvenile,22,0.01943
r2-1-BRD,97.42199008,0.3074,16.1,2.9,7,8.8,8.3,1,10.75,0.253,0.16521317,0.011,19.59,125.6725859,3.42425,3.40775,132.6199718,22.1,22.56936714,44.76,16,Juvenile,16,0.01075
r2-1-BRD,104.7276652,0.446,17,2.9,7,8.8,8.3,1,10.75,0.259,0.16521317,0.011,19.59,125.6725859,3.42425,3.40775,132.6199718,22.1,22.56936714,44.76,17,Juvenile,17,0.01075
r2-1-BRD,112.3270364,0.3264,18,2.9,7,8.8,8.3,1,10.75,0.259,0.16521317,0.011,19.59,125.6725859,3.42425,3.40775,132.6199718,22.1,22.56936714,44.76,18,Juvenile,18,0.01075
r2-1-BRD,120.2387443,0.4561,19,2.9,7,8.8,8.3,1,10.75,0.254,0.16521317,0.011,19.59,125.6725859,3.42425,3.40775,132.6199718,22.1,22.56936714,44.76,19,Juvenile,19,0.01075
r2-1-BRD,126.4665082,0.4719,20,2.9,7,8.8,8.3,1,10.75,0.257,0.16521317,0.011,19.59,125.6725859,3.42425,3.40775,132.6199718,22.1,22.56936714,44.76,20,Juvenile,20,0.01075
r2-1-BRD,131.7358158,0.5594,21.25,2.9,7,8.8,8.3,1,10.75,0.254,0.16521317,0.011,19.59,125.6725859,3.42425,3.40775,132.6199718,22.1,22.56936714,44.76,21,Juvenile,21,0.01075
r2-1-BRD,132.6199718,7.9231,22.1,2.9,7,8.8,8.3,1,10.75,0.25,0.16521317,0.011,19.59,125.6725859,3.42425,3.40775,132.6199718,22.1,22.56936714,44.76,22,Juvenile,22,0.01075
r2-1-BLD,94.11287789,0.4552,16.1,4,8.8,11.2,10.3,1,22.02,0.253,0.16521317,0.024,19.42,116.4738285,3.43715,3.39885,137.352421,25.95,27.68387123,75.717,16,Juvenile,16,0.02202
r2-1-BLD,134.681605,0.4978,25,4,8.8,11.2,10.3,1,22.02,0.254,0.16521317,0.024,19.42,116.4738285,3.43715,3.39885,137.352421,25.95,27.68387123,75.717,25,Juvenile,25,0.02202
r2-1-BLD,137.352421,0.4384,25.95,4,8.8,11.2,10.3,1,22.02,0.254,0.16521317,0.024,19.42,116.4738285,3.43715,3.39885,137.352421,25.95,27.68387123,75.717,26,Juvenile,26,0.02202
r2-1-BLD,133.6069137,1.1398,26.9,4,8.8,11.2,10.3,1,22.02,0.25,0.16521317,0.024,19.42,116.4738285,3.43715,3.39885,137.352421,25.95,27.68387123,75.717,27,Juvenile,27,0.02202
